科目代號,永續課程
599916001,1
599918001,1
599920001,1
599922001,1
599924001,1
599926001,1
599936001,1
599939001,1
599947001,1
599947011,1
599947021,1
599947031,1
599947041,1
599948001,1
599948011,1
599948021,1
599948031,1
599948041,1
599949001,5
599949011,5
599949021,5
599949031,5
599949041,5
599950001,1
599950011,1
599950021,1
599950031,1
601017001,3
601048001,4
601048011,3
601048021,4
601085001,4
601091001,1
601091011,2
601091021,3
601102001,1
601102011,1
601102021,2
601110001,4
601110021,3
601136001,4
601136011,2
601136021,1
601137001,1
601157001,2
601157011,1
601157021,3
601158001,5
601158011,4
601158021,3
601160001,3
601160011,3
601160021,1
601319001,1
601320001,2
601321001,2
601322001,1
601323001,3
601325001,1
601326001,4
601327001,1
601328001,3
601329001,3
601330001,3
601331001,5
601332001,3
601333001,4
601334001,1
601335001,4
601352001,3
601354001,1
601355001,2
601357001,3
601357011,3
601359001,2
601359011,1
601359021,2
601362001,4
601362011,3
601363001,1
601364001,5
601371001,2
601379001,2
601382001,4
601383001,3
601389001,5
601397001,2
601399001,3
601400001,5
601405001,1
601417001,3
601440001,1
601521001,4
601526011,4
601535001,1
601562001,3
601595001,3
601597001,1
601600001,1
601629001,1
601630001,5
601632001,4
601640001,2
601653001,5
601669001,1
601674001,3
601681001,4
601685001,1
601716001,3
601755001,5
601757001,2
601767001,4
601821001,1
601887001,3
601900001,4
601944001,3
601945001,2
601946001,2
651011001,1
651019001,3
651057001,1
651064001,1
651066001,3
651071001,1
651073001,3
651167001,3
651196001,3
651226001,4
651230001,4
